Podcast Name,RSS URL
boker code - בוקר קוד,https://anchor.fm/s/20b0b0c4/podcast/rss
CPradio,https://www.ranlevi.com/feed/cp_pod/
hackit.co.il - האקינג בעברית עם יובל אבידני,https://media.rss.com/hackit/feed.xml
Hard Reset,https://feeds.simplecast.com/vELdaali
LangTalks,https://feeds.podcastle.ai/47/928fdaee-6711-4272-9695-e721488d8c33.rss
Malicious Life,https://feeds.redcircle.com/597cfd00-b29a-49c6-9622-03c8decfc35f
The Industrial Security Podcast,https://www.ranlevi.com/feed/industrial_security_podcast/
אחד ביום,https://www.omnycontent.com/d/playlist/2ee97a4e-8795-4260-9648-accf00a38c6a/ac2da21e-2193-4683-bcb5-accf011076ad/409bad89-c4c2-46cb-b69b-accf01152781/podcast.rss
אלביט מדברים טכנולוגיה,https://feed.podbean.com/elbittech/feed.xml
בזמן שעבדתם,https://www.omnycontent.com/d/playlist/2ee97a4e-8795-4260-9648-accf00a38c6a/a5d4b51f-5b9e-43db-84da-ace100c04108/0ab18f83-1327-4f4e-9d7a-ace100c0411f/podcast.rss
בינה מלאכותית עם יובל אבידני,https://media.rss.com/ai-hacks/feed.xml
בעקבות התורה שבעל פה - הרב אהרן לוי,https://feeds.redcircle.com/eb545b83-9077-47a8-8a03-a8ab65f89860
גיקונומי,https://feed.podbean.com/geekonomy/feed.xml
דינוזאוריות רשת,https://anchor.fm/s/b25cd570/podcast/rss
דקות או פחות ‎30,https://anchor.fm/s/9ed2e94/podcast/rss?fbclid=IwAR2uBDi1FScvgZRJ3lKFW0HkCHiwF6FQ3nTBTUXQycwlwWWvNTu_Ur42Nlo
ההחלטה,https://www.omnycontent.com/d/playlist/2ee97a4e-8795-4260-9648-accf00a38c6a/7eaab5e2-c4aa-4b8f-8ebc-aed900ede4da/892ad3ac-76c4-4fac-b0fb-aed900efc64b/podcast.rss
הייטק בפקקים,https://feeds.soundcloud.com/users/soundcloud:users:368846900/sounds.rss
הכותרת,https://www.omnycontent.com/d/playlist/de0f04c1-f777-4661-b029-af6d01426cad/026b5414-4254-4038-9761-af7a00e8707e/30c4e768-7d14-4c98-bb13-af7a00e87095/podcast.rss
המוג׳ו של בן בן ברוך,https://feeds.soundcloud.com/users/soundcloud:users:351419093/sounds.rss
המנגנון - The Mechanism,https://www.omnycontent.com/d/playlist/23f697a0-7e6a-4e96-a223-a82c00962b12/95440ebf-10fe-4253-8816-af85013fd370/489fba5c-c864-404d-a94c-af8501413111/podcast.rss
המרתף של אורי,https://feeds.buzzsprout.com/2287896.rss
העולם של יוזביץ,https://feeds.captivate.fm/yozevitch/
הפודקאסט של נדב פרי,https://feeds.acast.com/public/shows/662a030657a7a900123b1ee2
"הפודקאסט של סמל""א: יחידת סייבר, מודיעין ולוחמה אלקטרונית ברפאל",https://www.ranlevi.com/feed/samla_feed/
הפוליטיקאים,https://www.ranlevi.com/feed/hapolitikaim
הצוללת,https://www.omnycontent.com/d/playlist/2b205f04-5ead-4e7a-9f30-a8d9007aa8c1/7c1eb7f0-9f1c-4b18-a5ef-aa2300f6f390/83ad6e02-49a1-45d1-adff-aa2300f9a658/podcast.rss
הקדמה לספר איוב- הרב אהרן לוי,https://feeds.redcircle.com/fa6659a8-f8c8-46f1-ac25-b4678750329f
התשובה עם דורון פישלר Hatshuva With Doron Fishler,https://www.ranlevi.com/feed/hatshuva/
וחברים AI,http://rss.castbox.fm/everest/33cb3345a6814ce898e7dcee848a76c0.xml
חור בהשכלה,https://anchor.fm/s/19bcde00/podcast/rss
